ID	Date		Speakers	Slug							Title
2	2021-03-12	@laforge	osmodevcall-20210312-laforge-overview-of-2020		Osmocom 2020 review
3	2021-03-26	@fixeria	osmodevcall-20210326-fixeria-osmoran-status-update	OsmoRAN status update: mult-TRX + frequency hopping
4	2021-04-09	@laforge	osmodevcall-20210409-laforge-pysim-shell		pySim-shell - next generation SIM configuration tool
5	2021-04-23	@horiz0n	osmodevcall-20210423-horizon-yig-yang			YIG & YANG (Yet ANother yiG driver)
6	2021-05-14	@laforge	osmodevcall-20210514-laforge-ss7-sigtran		SS7 and SIGTRAN in 2G/3G networks
7	2021-05-28	@fixeria	osmodevcall-20210528-fixeria-pycrate			Hacking binary protocols with Pycrate
8	2021-06-11	@keith		osmodevcall-20210611-whytek-peek-at-tic-infra		A screen sharing peek at TIC A.C. infra in Oaxaca
9	2021-07-09	@miaoski	osmodevcall-20210709-miaoski-open5gs			Open5GS setup walkthrough
10	2021-07-23	@laforge	osmodevcall-20210723-laforge-ims-volte-vowifi		High-Level into to IMS, VoLTE & VoWiFi
11	2021-08-13	@laforge	osmodevcall-20210813-laforge-gsm-r			GSM-R and how it differs from GSM
12	2021-08-27	@laforge	osmodevcall-20210827-laforge-osmo-remsim		osmo-remsim in practice
13	2021-09-24	@tnt		osmodevcall-20210924-tnt-iso7816			Open Hardware ISO7816 FPGA core
1	2021-10-22	@laforge	osmodevcall-20211022-laforge-sim			SIM card profile creation, personalization, production
16	2021-11-12	@laforge	osmodevcall-20211112-laforge-tdm			E1, TDM, PDH, SDH, Basics
17	2021-11-12	@tnt		osmodevcall-20211112-tnt-ice1usb			iceE1usb in practice
18	2021-11-25	@laforge	osmodevcall-20211125-laforge-cups-pfcp			Control/User Plane Separation (CUPS) and PFCP
19	2021-12-10	@osmith		osmodevcall-20211210-osmith-osmo-dev-ttcn3		osmo-dev and running Osmocom TTCN-3 testsuites locally
20	2021-12-28	@laforge	osmodevcall-20211228-laforge-retro-isdn-v5		Retronetworking: V5 interfaces in ISDN/PSTN
21	2022-01-14	@neels		osmodevcall-20220114-neels-voice-codec			Codecs in OsmoMSC, MNCC, SIP
22	2022-02-25	@laforge	osmodevcall-20220225-laforge-advanced-sim-topics	Advanced SIM card topics: GlobalPlatform SCP02, OTA, ARA-M, ISIM
23	2022-03-11	@tsaitgaist	osmodevcall-20220311-tsaitgaist-usb-c-connector-and-usb-pd	Developing with USB-C and PD
25	2022-04-29	@laforge	osmodevcall-20220429-laforge-octoi			Osmocom Community TDMoIP (OCTOI)

